Time,Equity,Returns,stock1_signal,stock2_signal
2010-04-19,9497.37932,0.00022596600181423732,-1,1
2010-04-20,9491.34487,-0.0006353805399024193,-1,1
2010-04-21,9486.28572,-0.0005330277288724261,-1,1
2010-04-22,9492.888270000001,0.0006960100290971383,-1,1
2010-04-23,9475.030420000001,-0.0018811819429536136,-1,1
2010-04-25,9478.36132,0.0003515450454880664,-1,1
2010-04-26,9476.693870000001,-0.00017592175943748067,-1,1
2010-04-27,9466.60152,-0.0010649652862534387,-1,1
2010-04-28,9466.25432,-3.667630873305239e-05,-1,1
2010-04-29,9463.53202,-0.00028757942772017486,-1,1
2010-04-30,9453.52032,-0.001057924248456299,-1,1
2010-05-02,9454.987570000001,0.00015520673255409179,-1,1
2010-05-03,9449.40522,-0.0005904132563551157,-1,1
2010-05-04,9461.53962,0.0012841443156990096,-1,1
2010-05-05,9456.87047,-0.0004934873379518478,-1,1
2010-05-06,9428.48002,-0.0030020977965239393,-1,1
2010-05-07,9424.36362,-0.0004365921114822813,-1,1
2010-05-09,9432.55667,0.0008693478234023111,-1,1
2010-05-10,9430.10417,-0.0002600037387318066,-1,1
2010-05-11,9402.43312,-0.0029343313182086384,-1,1
2010-05-12,9394.37972,-0.0008565229762569349,-1,1
2010-05-13,9396.95197,0.00027380732700454935,-1,1
2010-05-14,9401.058920000001,0.0004370512920692793,-1,1
2010-05-16,9397.03497,-0.0004280315690224912,-1,1
2010-05-17,9406.47077,0.001004125240581022,-1,1
2010-05-18,9405.14207,-0.00014125382755003635,-1,1
2010-05-19,9435.265370000001,0.003202854329663607,-1,1
2010-05-20,9450.61712,0.0016270607553670047,-1,1
2010-05-21,9455.77167,0.0005454194085474651,-1,1
2010-05-23,9451.03932,-0.0005004721100674292,-1,1
2010-05-24,9439.50727,-0.0012201885538234425,-1,1
2010-05-25,9429.67087,-0.0010420459160258577,-1,1
2010-05-26,9421.61252,-0.0008545738351947163,-1,1
2010-05-27,9420.603920000001,-0.00010705173852754157,-1,1
2010-05-28,9418.434070000001,-0.0002303302440508359,-1,1
2010-05-30,9421.95997,0.00037436159490988885,-1,1
2010-05-31,9416.12377,-0.0006194252595619343,-1,1
2010-06-01,9407.45737,-0.0009203787260753105,-1,1
2010-06-02,9408.445670000001,0.000105054953865924,-1,1
2010-06-03,9426.08372,0.001874703922268628,-1,1
2010-06-04,9412.84722,-0.0014042417183199873,-1,1
2010-06-06,9415.52637,0.0002846269505265564,-1,1
2010-06-07,9393.39897,-0.0023500969707336283,-1,1
2010-06-08,9395.32422,0.00020495775875684075,-1,1
2010-06-09,9401.30577,0.0006366517918847681,-1,1
2010-06-10,9413.34467,0.0012805561583175695,-1,1
2010-06-11,9405.99782,-0.0007804717937731631,-1,1
2010-06-13,9402.14437,-0.0004096800864451522,-1,1
2010-06-14,9411.37282,0.0009815260898828893,-1,1
2010-06-15,9399.423620000001,-0.0012696553657512988,-1,1
2010-06-16,9400.35042,9.860179064880015e-05,-1,1
2010-06-17,9387.440270000001,-0.0013733690153222566,-1,1
2010-06-18,9375.841120000001,-0.0012356030681833774,-1,1
2010-06-20,9373.03907,-0.00029885851990629764,-1,1
2010-06-21,9395.16177,0.002360248350058436,-1,1
2010-06-22,9391.52202,-0.00038740684717342155,-1,1
2010-06-23,9394.635320000001,0.00033150111274515837,-1,1
2010-06-24,9387.97322,-0.0007091387555852036,-1,1
2010-06-25,9377.00942,-0.0011678559091585772,-1,1
2010-06-27,9377.42597,4.442247856895065e-05,-1,1
2010-06-28,9392.57377,0.0016153473296895982,-1,1
2010-06-29,9391.968920000001,-6.43966195859047e-05,-1,1
2010-06-30,9391.158720000001,-8.626519177190595e-05,-1,1
2010-07-01,9430.99727,0.004242133605425691,-1,1
2010-07-02,9421.49077,-0.0010080058055196295,-1,1
2010-07-04,9420.08662,-0.00014903692359080623,-1,1
2010-07-05,9423.042420000002,0.0003137763079297251,-1,1
2010-07-06,9438.978420000001,0.0016911735392568517,-1,1
2010-07-07,9427.67957,-0.0011970416179848398,-1,1
2010-07-08,9436.55897,0.0009418436354429183,-1,1
2010-07-09,9420.830170000001,-0.0016667940135808301,-1,1
2010-07-11,9420.48387,-3.6758968557148997e-05,-1,1
2010-07-12,9435.14647,0.0015564593286649941,-1,1
2010-07-13,9421.01547,-0.001497698000230363,-1,1
2010-07-14,9422.71977,0.00018090406553583627,-1,1
2010-07-15,9422.77837,6.219011222885484e-06,-1,1
2010-07-16,9439.62637,0.0017880076701835002,-1,1
2010-07-18,9440.55732,9.862148813000182e-05,-1,1
2010-07-19,9450.85792,0.0010911008376781606,-1,1
2010-07-20,9440.413270000001,-0.0011051536366762926,-1,1
2010-07-21,9446.91677,0.0006888999256702277,-1,1
2010-07-22,9436.55702,-0.0010966276354734683,-1,1
2010-07-23,9443.550920000001,0.0007411495511739918,-1,1
2010-07-25,9441.40652,-0.00022707560092249945,-1,1
2010-07-26,9447.70182,0.0006667756532530156,-1,1
2010-07-27,9469.48622,0.0023057882662940177,-1,1
2010-07-28,9468.29612,-0.00012567735697066595,-1,1
2010-07-29,9465.024220000001,-0.0003455637591528449,-1,1
2010-07-30,9451.61857,-0.0014163355199529049,-1,1
2010-08-01,9451.109620000001,-5.38479199334585e-05,-1,1
2010-08-02,9449.700270000001,-0.00014912005644474036,-1,1
2010-08-03,9442.777170000001,-0.0007326264116522818,-1,1
2010-08-04,9436.416720000001,-0.000673578321874202,-1,1
2010-08-05,9438.66287,0.00023802997119015679,-1,1
2010-08-06,9427.32877,-0.0012008162762148222,-1,1
2010-08-08,9427.161970000001,-1.769324100908687e-05,-1,1
2010-08-09,9432.36037,0.0005514278864140465,-1,1
2010-08-10,9429.338370000001,-0.00032038640186082823,-1,1
2010-08-11,9431.63652,0.0002437233568062247,-1,1
2010-08-12,9420.141920000002,-0.0012187280516614551,-1,1
2010-08-13,9417.033220000001,-0.0003300056439065058,-1,1
2010-08-15,9417.43332,4.248684173147055e-05,-1,1
2010-08-16,9407.82752,-0.001020001912792834,-1,1
2010-08-17,9408.08817,2.770565249488044e-05,-1,1
2010-08-18,9403.496920000001,-0.0004880109451609327,-1,1
2010-08-19,9400.34912,-0.00033474780996689546,-1,1
2010-08-20,9404.54592,0.000446451503707479,-1,1
2010-08-22,9406.297970000001,0.00018629820247628714,-1,1
2010-08-23,9409.32452,0.0003217578275376276,-1,1
2010-08-24,9401.42257,-0.0008397999222158337,-1,1
2010-08-25,9393.42597,-0.0008505734042332236,-1,1
2010-08-26,9395.321670000001,0.0002018113525410481,-1,1
2010-08-27,9394.526370000001,-8.46485120928886e-05,-1,1
2010-08-29,9395.39887,9.287322911633034e-05,-1,1
2010-08-30,9395.785570000002,4.1158444186617515e-05,-1,1
2010-08-31,9384.56427,-0.0011942907717934492,-1,1
2010-09-01,9386.88592,0.00024739028187181766,-1,1
2010-09-02,9381.451420000001,-0.0005789459940511721,-1,1
2010-09-03,9385.938170000001,0.00047825755303021467,-1,1
2010-09-05,9384.836420000001,-0.00011738304472552752,-1,1
2010-09-06,9382.98142,-0.00019765927896708835,-1,1
2010-09-07,9376.334270000001,-0.0007084262136372033,-1,1
2010-09-08,9376.99177,7.012335322809093e-05,-1,1
2010-09-09,9386.260370000002,0.0009884406670435109,-1,1
2010-09-10,9386.31932,6.280456505081133e-06,-1,1
2010-09-12,9388.97462,0.0002828904397427223,-1,1
2010-09-13,9383.39312,-0.0005944738617261747,-1,1
2010-09-14,9364.096120000002,-0.0020565055468974025,-1,1
2010-09-15,9364.95462,9.16799645152011e-05,-1,1
2010-09-16,9358.63572,-0.0006747389876834431,-1,1
2010-09-17,9358.34632,-3.092331068954568e-05,-1,1
2010-09-19,9355.759870000002,-0.00027637895751642105,-1,1
2010-09-20,9353.679170000001,-0.00022239775591847977,-1,1
2010-09-21,9345.40572,-0.0008845129119390283,-1,1
2010-09-22,9341.25847,-0.0004437742056638827,-1,1
2010-09-23,9338.523770000002,-0.000292754986791266,-1,1
2010-09-24,9336.119470000001,-0.0002574603930145525,-1,1
2010-09-26,9335.802920000002,-3.3905950005963525e-05,-1,1
2010-09-27,9340.338070000002,0.0004857803917737158,-1,1
2010-09-28,9323.497870000001,-0.0018029540123487564,-1,1
2010-09-29,9324.153470000001,7.031695712722552e-05,-1,1
2010-09-30,9325.393020000001,0.00013293968229799447,-1,1
2010-10-01,9313.591020000002,-0.0012655766866541684,-1,1
2010-10-03,9314.970070000001,0.00014806855884463843,-1,1
2010-10-04,9317.865070000002,0.0003107900485181947,-1,1
2010-10-05,9293.232220000002,-0.0026436152289120995,-1,1
2010-10-06,9287.542920000002,-0.0006121981959900102,-1,1
2010-10-07,9297.506320000002,0.0010727702779758097,-1,1
2010-10-08,9286.997120000002,-0.0011303245879374924,-1,1
2010-10-10,9277.17292,-0.0010578446265310237,1,-1
2010-10-11,9275.139470000002,-0.00021918854132974008,1,-1
2010-10-12,9273.772520000002,-0.00014737783775875535,1,-1
2010-10-13,9295.192620000002,0.0023097504229054877,1,-1
2010-10-14,9300.822470000001,0.0006056733012596016,1,-1
2010-10-15,9290.37022,-0.0011237984633847287,1,-1
2010-10-17,9288.368570000002,-0.00021545427712765797,1,-1
2010-10-18,9290.167070000001,0.00019362926723287543,1,-1
2010-10-19,9255.015570000001,-0.0037837317386371083,-1,1
2010-10-20,9239.222670000001,-0.0017064152815898792,-1,1
2010-10-21,9261.887520000002,0.002453112216203479,-1,1
2010-10-22,9259.85567,-0.00021937752921463716,-1,1
2010-10-24,9254.256340000002,-0.0006046886905742843,-1,1
2010-10-25,9247.313960000001,-0.0007501823750000192,-1,1
2010-10-26,9246.52676,-8.512742223376613e-05,-1,1
2010-10-27,9260.148930000001,0.0014732201997109673,-1,1
2010-10-28,9245.044090000001,-0.0016311659903293085,-1,1
2010-10-29,9228.752940000002,-0.001762149519397127,1,-1
2010-10-31,9232.545810000001,0.00041098402185624217,1,-1
2010-11-01,9223.35625,-0.0009953441000040142,1,-1
2010-11-02,9225.890130000002,0.0002747242903038405,1,-1
2010-11-03,9217.761320000001,-0.0008810867987217863,-1,1
2010-11-04,9178.934400000002,-0.004212185437667548,1,-1
2010-11-05,9185.394050000003,0.0007037472672208889,1,-1
2010-11-07,9187.080230000001,0.00018357187408835074,1,-1
2010-11-08,9197.735800000002,0.001159842924328247,1,-1
2010-11-09,9188.199250000001,-0.0010368366962660858,1,-1
2010-11-10,9193.220730000001,0.0005465140517060263,1,-1
2010-11-11,9199.324040000001,0.0006638924680753,1,-1
2010-11-12,9160.381960000002,-0.004233145808395622,1,-1
2010-11-14,9162.599570000002,0.00024208706685846515,1,-1
2010-11-15,9149.867250000001,-0.0013895969045388812,1,-1
2010-11-16,9131.546200000003,-0.002002329596639596,-1,1
2010-11-17,9129.774400000002,-0.00019403066700796057,-1,1
2010-11-18,9113.420740000001,-0.0017912446993214592,1,-1
2010-11-19,9108.924490000003,-0.0004933657874769404,1,-1
2010-11-21,9114.905300000002,0.0006565879436770672,1,-1
2010-11-22,9119.451150000003,0.0004987270685083978,1,-1
2010-11-23,9128.938620000003,0.0010403553727025283,1,-1
2010-11-24,9129.685460000002,8.181016776287464e-05,1,-1
2010-11-25,9128.229510000003,-0.00015947427831752847,1,-1
2010-11-26,9117.991360000002,-0.0011215920884531938,1,-1
2010-11-28,9113.287360000002,-0.000515903099079007,1,-1
2010-11-29,9121.766950000003,0.0009304644597534217,1,-1
2010-11-30,9140.016410000002,0.0020006496657973827,1,-1
2010-12-01,9143.923180000002,0.00042743577524939624,1,-1
2010-12-02,9142.479700000002,-0.0001578622186105827,1,-1
2010-12-03,9169.477540000002,0.002953010658585331,1,-1
2010-12-05,9166.273510000003,-0.0003494233980095851,1,-1
2010-12-06,9177.211440000003,0.0011932799068310462,1,-1
2010-12-07,9156.340240000001,-0.00227424203271942,1,-1
2010-12-08,9139.941430000003,-0.0017909786628897972,1,-1
2010-12-09,9142.496970000002,0.00027960135407556486,1,-1
2010-12-10,9141.500290000002,-0.00010901616957281757,1,-1
2010-12-12,9136.658520000003,-0.0005296471964558735,1,-1
2010-12-13,9152.167620000002,0.0016974586459646002,1,-1
2010-12-14,9152.006070000003,-1.76515560801338e-05,1,-1
2010-12-15,9136.398190000002,-0.0017054053374334632,1,-1
2010-12-16,9126.491490000002,-0.0010843113220309064,1,-1
2010-12-17,9130.932380000002,0.0004865933425639568,1,-1
2010-12-19,9137.068970000002,0.0006720660875161322,1,-1
2010-12-20,9141.385430000002,0.00047241188768221143,1,-1
2010-12-21,9142.312550000002,0.00010142007544700071,1,-1
2010-12-22,9142.483610000003,1.871080200599451e-05,1,-1
2010-12-23,9133.926890000002,-0.000935929487545506,1,-1
2010-12-24,9139.904310000002,0.0006544195144086995,1,-1
2010-12-26,9128.268770000002,-0.0012730483389491454,1,-1
2010-12-27,9140.109370000002,0.0012971353384021445,1,-1
2010-12-28,9160.688020000003,0.002251466494213483,1,-1
2010-12-29,9166.569400000002,0.0006420238291227065,1,-1
2010-12-30,9161.402480000002,-0.0005636699810508405,1,-1
2010-12-31,9174.952960000002,0.0014790835824078918,1,-1
2011-01-02,9172.323310000003,-0.00028661182367506477,1,-1
2011-01-03,9170.668740000003,-0.00018038723059365935,1,-1
2011-01-04,9140.097090000003,-0.0033336336603954075,1,-1
2011-01-05,9131.587680000002,-0.0009309977690838966,1,-1
2011-01-06,9126.870680000002,-0.000516558583819049,1,-1
2011-01-07,9124.875930000002,-0.00021855793403224855,1,-1
2011-01-09,9126.502240000002,0.0001782281767419569,1,-1
2011-01-10,9131.005560000003,0.0004934332870991653,1,-1
2011-01-11,9137.805910000003,0.0007447536807763111,1,-1
2011-01-12,9142.298720000003,0.000491672732409798,1,-1
2011-01-13,9131.443020000002,-0.0011874147118220435,1,-1
2011-01-14,9117.659860000002,-0.0015094175115381026,1,-1
2011-01-16,9119.701710000003,0.0002239445242917526,1,-1
2011-01-17,9116.808000000003,-0.0003173031412668781,1,-1
2011-01-18,9124.495020000002,0.0008431701095383826,1,-1
2011-01-19,9125.319740000003,9.038527591864742e-05,1,-1
2011-01-20,9103.480360000001,-0.002393272852048156,-1,1
2011-01-21,9108.802250000002,0.0005845994926714226,-1,1
2011-01-23,9105.952910000002,-0.000312811709135552,-1,1
2011-01-24,9113.913040000003,0.0008741677097032774,-1,1
2011-01-25,9119.660530000003,0.0006306281368688715,-1,1
2011-01-26,9107.478080000003,-0.0013358446797361312,-1,1
2011-01-27,9136.121780000003,0.0031450748218546654,-1,1
2011-01-28,9114.540710000003,-0.002362169695159233,-1,1
2011-01-30,9106.640800000003,-0.0008667370360563309,-1,1
2011-01-31,9118.482700000002,0.0013003587447963927,-1,1
2011-02-01,9109.231920000002,-0.0010145086967155992,-1,1
2011-02-02,9116.240260000002,0.000769366732733312,-1,1
2011-02-03,9098.770480000003,-0.001916336066377422,1,-1
2011-02-04,9094.935380000003,-0.0004214965097130152,-1,1
2011-02-06,9098.629030000002,0.0004061216320592198,-1,1
2011-02-07,9092.567580000003,-0.0006661937727115985,1,-1
2011-02-08,9104.367890000001,0.0012977973378998087,1,-1
2011-02-09,9105.845790000001,0.00016232867760357372,1,-1
2011-02-10,9105.466080000002,-4.169958604138824e-05,1,-1
2011-02-11,9098.385580000002,-0.0007776098376284235,1,-1
2011-02-13,9097.721700000002,-7.296679110402327e-05,1,-1
2011-02-14,9103.490250000003,0.0006340653396774698,1,-1
2011-02-15,9113.415430000003,0.0010902609578782307,1,-1
2011-02-16,9117.547350000003,0.00045338874670397544,1,-1
2011-02-17,9125.588910000002,0.0008819871936283086,1,-1
2011-02-18,9131.800280000003,0.0006806541540780309,1,-1
2011-02-20,9132.801650000001,0.0001096574573791198,1,-1
2011-02-21,9149.952230000003,0.0018779100496506551,1,-1
2011-02-22,9140.844130000001,-0.0009954259619124883,1,-1
2011-02-23,9156.018370000002,0.001660047998214731,1,-1
2011-02-24,9144.619720000002,-0.0012449352479836362,1,-1
2011-02-25,9152.166400000002,0.000825259030016845,1,-1
