Time,Open,High,Low,Close,Volume,Day,ATR,direction,dir_count,spread,size,entry_price,TP,SL,profit/loss
2007-05-31 08:00:00,656.294,657.47,654.947,656.123,228,Thu,2.7389499999999942,bear,1,0.02,100.0,,,,
2007-05-31 12:00:00,656.723,661.598,655.823,658.895,240,Thu,2.941899999999998,bull,1,0.02,100.0,,,,
2007-05-31 16:00:00,658.922,661.095,658.073,661.048,213,Thu,3.037650000000002,bull,2,0.02,100.0,,,,
2007-05-31 20:00:00,660.57,661.519,659.647,660.044,161,Thu,3.0512,bear,1,0.02,100.0,,,,
2007-06-01 00:00:00,660.27,663.222,660.098,662.397,230,Fri,3.15745,bull,1,0.02,100.0,,,,
2007-06-01 04:00:00,661.997,663.798,661.297,662.022,231,Fri,3.2261500000000014,bull,2,0.02,100.0,,,,
2007-06-01 08:00:00,662.145,665.295,660.948,663.27,237,Fri,3.3466499999999995,bull,3,0.02,100.0,,,,
2007-06-01 12:00:00,663.413,670.347,662.248,669.847,239,Fri,3.6651999999999987,bull,4,0.02,100.0,,,,
2007-06-01 16:00:00,669.897,671.67,668.32,670.008,192,Fri,3.5662999999999956,bull,5,0.02,100.0,,,,
2007-06-01 20:00:00,669.828,670.86,669.825,670.787,34,Fri,3.3216499999999938,bull,6,0.02,100.0,670.787,672.4478250000001,669.828,
2007-06-03 20:00:00,670.443,670.708,670.247,670.553,89,Sun,3.2274000000000003,bull,7,0.02,100.0,,,,
2007-06-04 00:00:00,670.117,670.594,668.247,668.674,219,Mon,3.2116000000000042,bear,1,0.02,100.0,,,,Buy loss
2007-06-04 04:00:00,668.727,670.352,667.903,669.183,234,Mon,3.174000000000001,bull,1,0.02,100.0,,,,
2007-06-04 08:00:00,669.37,671.373,668.62,671.068,235,Mon,3.171750000000003,bull,2,0.02,100.0,,,,
2007-06-04 12:00:00,671.116,673.595,668.687,672.164,240,Mon,3.1484500000000026,bull,3,0.02,100.0,,,,
2007-06-04 16:00:00,672.014,673.06,669.872,670.442,211,Mon,3.1254999999999997,bear,1,0.02,100.0,,,,
2007-06-04 20:00:00,670.097,671.379,670.097,670.783,162,Mon,3.049549999999999,bull,1,0.02,100.0,,,,
2007-06-05 00:00:00,671.047,672.11,670.247,670.747,197,Tue,3.0164500000000034,bear,1,0.02,100.0,,,,
2007-06-05 04:00:00,671.097,672.787,670.148,672.122,215,Tue,3.025850000000003,bull,1,0.02,100.0,,,,
2007-06-05 08:00:00,672.445,672.495,669.773,671.37,235,Tue,3.0196500000000013,bear,1,0.02,100.0,,,,
2007-06-05 12:00:00,671.513,673.203,668.547,670.097,240,Tue,3.126299999999998,bear,2,0.02,100.0,,,,
2007-06-05 16:00:00,670.097,670.295,668.248,668.898,218,Tue,2.9398999999999944,bear,3,0.02,100.0,,,,
2007-06-05 20:00:00,669.628,670.77,668.847,670.598,149,Tue,2.884949999999992,bull,1,0.02,100.0,,,,
2007-06-06 00:00:00,670.52,671.748,669.973,670.628,216,Wed,2.8800999999999988,bull,2,0.02,100.0,,,,
2007-06-06 04:00:00,670.298,671.72,669.928,670.177,211,Wed,2.8108000000000004,bear,1,0.02,100.0,,,,
